Latitude,Longitude,text,person
25.17552307,51.43452899,Just posted a photo @ Sanaya Doha Qatar https://t.co/xp5aaOSyZJ,Al Rayyan
25.39191214,51.52681042,Just posted a photo @ Lusail Marina Lusail City https://t.co/EgNfGlUpuC,Doha
25.17552307,51.43452899,Just posted a photo @ Sanaya Doha Qatar https://t.co/VqCvHKxLkl,Al Rayyan
26.2208,50.5849,Just posted a photo @ Manama Bahrain https://t.co/cWlPKltG8I,مملكة البحرين
26.21558607,50.58694421,Just posted a photo @ Adilya https://t.co/rc3ZqCgLik,Bahrain
26.2084923,50.61160426,SPRING BAND CONCERT #usnavy #bahrainschool #usnavy #usnavybasebahrain #bahraincommunityschool #bahraincs #juffair… https://t.co/bFkZpVMgIG,Bahrain
25.2835,51.5284,Just posted a photo @ Doha https://t.co/1qeKrh0gDC,Doha
25.2835,51.5284,جميع اعمال صيانه المبانيجميع اعمال الصبغ والديكورجميع اعمال الجبس بورد وديكوراته تركيب بلاط وسيراميكطابوك وبلاس… https://t.co/ets5vHHeqH,Doha
25.269535,51.212767,يافـديت الي البـشر بـعده سـوىوكن عيني ما تـرى غيـره خليــل ❤️ @ Qatar https://t.co/4QBpwf0Mby,Al Rayyan
25.269535,51.212767,ولان ذوقي غير وفوق المستوىيوم احب ، احب شي ماله مثيل 🤍 @ Qatar https://t.co/jGwkBoYycV,Al Rayyan
26.213,50.6016,Fully furnished 4 bedrooms villa for rent in #juffair Rent is 600 bd including EWA For Viewing Please Call Mosta… https://t.co/wRduE1qzDv,Bahrain
25.2835,51.5284,Just posted a video @ Doha https://t.co/OSnifsl3FH,Doha
25.22872534,51.408839,Just posted a photo @ Doha city Qatar https://t.co/Rulfz0IytG,Al Rayyan
25.2835,51.5284,Just posted a video @ Doha https://t.co/TGAhnJujoZ,Doha
25.2835,51.5284,Just posted a video @ Doha https://t.co/6m9oEU3QdK,Doha
25.2835,51.5284,Just posted a video @ Doha https://t.co/xOL0DY4PMr,Doha
25.2835,51.5284,Just posted a video @ Doha https://t.co/cIv2UmNnOQ,Doha
25.2835,51.5284,Just posted a video @ Doha https://t.co/jkeUC9ncjQ,Doha
25.2835,51.5284,Just posted a video @ Doha https://t.co/B5aHzX7ooq,Doha
25.2835,51.5284,Just posted a video @ Doha https://t.co/5UnZS61RRI,Doha
25.2835,51.5284,Just posted a video @ Doha https://t.co/PtP91URS2v,Doha
25.2835,51.5284,Just posted a video @ Doha https://t.co/dpJbKe1qqp,Doha
26.26059247,50.61516626,دائماً كن محاطاً بالأمل .. في حياتك لتستمر بكل قوه وثبات، مع متغيرات دنياك.مساكم ورد 🌷 وعدنا لكم بعود العنبر المم… https://t.co/AB4OcyV6BQ,Bahrain
25.01111111,51.04444444,Just posted a photo @ Al Karaana https://t.co/Jp2WnuRbCl,الريان
25.2835,51.5284,ما هذه شهية المأكولات @ Doha https://t.co/BwHFzrLNtB,الدوحة
